source,target,weight
UCRelkU8JiZBytTzebJxaa-w,UCYN4wSQ1Sx4_LurxLlW7MPg,1
UCRelkU8JiZBytTzebJxaa-w,UCsSXdJct-nsS8DsABoEsaYA,1
UCRelkU8JiZBytTzebJxaa-w,UCOS8ViEkccrTZx2w2ccxotA,1
UCRelkU8JiZBytTzebJxaa-w,UCwW2OFy95P7ZBkOPxWkpvYg,1
UCRelkU8JiZBytTzebJxaa-w,UCi1b_TRQfgO1Z9O2gNGGWNA,1
UCRelkU8JiZBytTzebJxaa-w,UC7VUuJr9cGh845CmTvf7TlQ,1
UCRelkU8JiZBytTzebJxaa-w,UCplrIQtaPj6au60_f2-mOYw,1
UCRelkU8JiZBytTzebJxaa-w,UCSou6a2OuYGSvPjm5psquyA,1
UCRelkU8JiZBytTzebJxaa-w,UCsJJAvrVGupdmhOqgtDp8dg,1
UCRelkU8JiZBytTzebJxaa-w,UCFhxtoeARHPnXXPcDrOU3Xg,1
UCRelkU8JiZBytTzebJxaa-w,UC5H8ASmMC9WrURmzeB4ySog,1
UCRelkU8JiZBytTzebJxaa-w,UCGzXwyCzMzGmjmCbH3Hg01Q,1
UCRelkU8JiZBytTzebJxaa-w,UCueV9cTyTDwgQSec1x2dYgA,1
UCRelkU8JiZBytTzebJxaa-w,UC3MYTqpQqlWBuCB7Th0e0PA,1
UCRelkU8JiZBytTzebJxaa-w,UC3E9mAgP7VoAE5mZoAexl5g,1
UCRelkU8JiZBytTzebJxaa-w,UCB5p8a5gklc80jJItP6xTHg,1
UCRelkU8JiZBytTzebJxaa-w,UCcfdg8crmMJwEuLUsAhV7yg,1
UCRelkU8JiZBytTzebJxaa-w,UCQtICyzWmhC5woCtbNgaSmg,1
UCRelkU8JiZBytTzebJxaa-w,UCLFdHr9BEbXHkoJopbEPLZw,1
UCRelkU8JiZBytTzebJxaa-w,UCQtSFINs1h6GHkpg9o5kMvg,1
UCRelkU8JiZBytTzebJxaa-w,UCfM3nrxtTQMY5jFx1v1J4Gg,1
UCRelkU8JiZBytTzebJxaa-w,UCV0iizTBoOfdAFX_thfI9BA,1
UCRelkU8JiZBytTzebJxaa-w,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1
UCRelkU8JiZBytTzebJxaa-w,UCFoIAE8k82D6AV-8gjjKaNg,1
